TIME,CHAN1
0.0,-0.00625
2.5,0.30625
5.0,0.296875
7.5,0.30625
10.0,0.30625
12.5,0.296875
15.0,0.30625
17.5,0.296875
20.0,0.3
22.5,0.30625
25.0,0.309375
27.5,-0.003125
30.0,-0.003125
32.5,0.00625
35.0,-0.003125
37.5,0.00625
40.0,-0.003125
42.5,0.00625
45.0,0.003125
47.5,-0.00625
50.0,-0.00625
52.5,0.30625
55.0,0.296875
57.5,0.30625
60.0,0.296875
62.5,0.30625
65.0,0.30625
67.5,0.296875
70.0,0.3
72.5,0.30625
75.0,0.30625
77.5,-0.003125
80.0,0.00625
82.5,-0.003125
85.0,-0.003125
87.5,0.003125
90.0,-0.003125
92.5,0.00625
95.0,-0.003125
97.5,0.00625
100.0,-0.003125
102.5,0.30625
105.0,0.30625
107.5,0.296875
110.0,0.30625
112.5,0.296875
115.0,0.30625
117.5,0.296875
120.0,0.296875
122.5,0.309375
125.0,0.30625
127.5,-0.003125
130.0,0.00625
132.5,-0.003125
135.0,0.00625
137.5,-0.00625
140.0,-0.003125
142.5,0.00625
145.0,0.003125
147.5,-0.003125
150.0,-0.00625
152.5,0.30625
155.0,0.296875
157.5,0.30625
160.0,0.296875
162.5,0.309375
165.0,0.30625
167.5,0.296875
170.0,0.30625
172.5,0.296875
175.0,0.30625
177.5,-0.003125
180.0,-0.003125
182.5,0.00625
185.0,-0.003125
187.5,0.00625
190.0,-0.003125
192.5,0.00625
195.0,-0.003125
197.5,0.00625
200.0,-0.00625
202.5,0.303125
205.0,0.296875
207.5,0.30625
210.0,0.30625
212.5,0.296875
215.0,0.30625
217.5,0.296875
220.0,0.30625
222.5,0.296875
225.0,0.30625
227.5,-0.003125
230.0,-0.003125
232.5,0.00625
235.0,-0.003125
237.5,0.00625
240.0,0.003125
242.5,-0.00625
245.0,0.003125
247.5,-0.00625
250.0,-0.00625
252.5,0.30625
255.0,0.296875
257.5,0.30625
260.0,0.30625
262.5,0.296875
265.0,0.30625
267.5,0.296875
270.0,0.3
272.5,0.30625
275.0,0.30625
277.5,-0.003125
280.0,-0.003125
282.5,0.00625
285.0,0.00625
287.5,-0.00625
290.0,0.003125
292.5,-0.00625
295.0,0.003125
297.5,-0.00625
300.0,-0.00625
302.5,0.30625
305.0,0.296875
307.5,0.30625
310.0,0.30625
312.5,0.296875
315.0,0.3
317.5,0.30625
320.0,0.30625
322.5,0.296875
325.0,0.30625
327.5,-0.003125
330.0,-0.003125
332.5,0.00625
335.0,-0.00625
337.5,0.00625
340.0,-0.003125
342.5,0.00625
345.0,0.00625
347.5,-0.00625
350.0,-0.003125
352.5,0.30625
355.0,0.296875
357.5,0.30625
360.0,0.30625
362.5,0.296875
365.0,0.30625
367.5,0.296875
370.0,0.30625
372.5,0.296875
375.0,0.30625
377.5,-0.003125
380.0,0.00625
382.5,-0.00625
385.0,-0.003125
387.5,0.00625
390.0,-0.003125
392.5,0.003125
395.0,-0.003125
397.5,0.003125
400.0,-0.00625
402.5,0.303125
405.0,0.296875
407.5,0.30625
410.0,0.30625
412.5,0.296875
415.0,0.30625
417.5,0.296875
420.0,0.30625
422.5,0.296875
425.0,0.30625
427.5,-0.003125
430.0,0.00625
432.5,-0.003125
435.0,0.00625
437.5,-0.00625
440.0,-0.003125
442.5,0.003125
445.0,-0.00625
447.5,0.003125
450.0,-0.003125
452.5,0.30625
455.0,0.296875
457.5,0.30625
460.0,0.30625
462.5,0.296875
465.0,0.30625
467.5,0.296875
470.0,0.30625
472.5,0.296875
475.0,0.30625
477.5,-0.003125
480.0,0.00625
482.5,-0.003125
485.0,-0.003125
487.5,0.00625
490.0,-0.003125
492.5,0.003125
495.0,-0.003125
497.5,0.00625
500.0,-0.00625
502.5,0.30625
505.0,0.296875
507.5,0.30625
510.0,0.296875
512.5,0.30625
515.0,0.30625
517.5,0.296875
520.0,0.30625
522.5,0.296875
525.0,0.30625
527.5,-0.003125
530.0,-0.003125
532.5,0.00625
535.0,-0.003125
537.5,0.00625
540.0,0.003125
542.5,-0.00625
545.0,-0.003125
547.5,0.003125
550.0,-0.00625
552.5,0.30625
555.0,0.296875
557.5,0.30625
560.0,0.30625
562.5,0.296875
565.0,0.30625
567.5,0.296875
570.0,0.30625
572.5,0.296875
575.0,0.30625
577.5,-0.003125
580.0,-0.003125
582.5,0.00625
585.0,0.003125
587.5,-0.003125
590.0,-0.003125
592.5,0.00625
595.0,0.003125
597.5,-0.00625
600.0,-0.003125
602.5,0.30625
605.0,0.296875
607.5,0.30625
610.0,0.30625
612.5,0.296875
615.0,0.30625
617.5,0.296875
620.0,0.30625
622.5,0.296875
625.0,0.309375
627.5,-0.003125
630.0,0.00625
632.5,-0.003125
635.0,-0.003125
637.5,0.00625
640.0,-0.00625
642.5,0.00625
645.0,0.003125
647.5,-0.00625
650.0,-0.00625
652.5,0.30625
655.0,0.296875
657.5,0.30625
660.0,0.30625
662.5,0.296875
665.0,0.30625
667.5,0.296875
670.0,0.30625
672.5,0.296875
675.0,0.30625
677.5,-0.003125
680.0,-0.003125
682.5,0.00625
685.0,0.00625
687.5,-0.003125
690.0,-0.003125
692.5,0.00625
695.0,0.003125
697.5,-0.003125
700.0,-0.00625
702.5,0.30625
705.0,0.296875
707.5,0.30625
710.0,0.30625
712.5,0.296875
715.0,0.3
717.5,0.30625
720.0,0.30625
722.5,0.296875
725.0,0.30625
727.5,-0.003125
730.0,-0.003125
732.5,0.00625
735.0,-0.003125
737.5,0.00625
740.0,0.003125
742.5,-0.003125
745.0,-0.003125
747.5,0.00625
750.0,-0.003125
752.5,0.30625
755.0,0.30625
757.5,0.296875
760.0,0.30625
762.5,0.296875
765.0,0.30625
767.5,0.3
770.0,0.30625
772.5,0.296875
775.0,0.30625
777.5,-0.003125
780.0,0.00625
782.5,-0.003125
785.0,-0.003125
787.5,0.00625
790.0,-0.003125
792.5,0.003125
795.0,-0.003125
797.5,0.00625
800.0,-0.003125
802.5,0.30625
805.0,0.296875
807.5,0.30625
810.0,0.30625
812.5,0.296875
815.0,0.30625
817.5,0.296875
820.0,0.30625
822.5,0.296875
825.0,0.30625
827.5,-0.003125
830.0,-0.003125
832.5,0.00625
835.0,-0.003125
837.5,0.00625
840.0,0.003125
842.5,-0.00625
845.0,0.003125
847.5,-0.00625
850.0,-0.003125
852.5,0.30625
855.0,0.296875
857.5,0.30625
860.0,0.30625
862.5,0.296875
865.0,0.30625
867.5,0.296875
870.0,0.30625
872.5,0.296875
875.0,0.30625
877.5,-0.003125
880.0,0.00625
882.5,-0.003125
885.0,-0.003125
887.5,0.00625
890.0,0.003125
892.5,-0.00625
895.0,0.00625
897.5,-0.00625
900.0,-0.00625
902.5,0.303125
905.0,0.296875
907.5,0.30625
910.0,0.296875
912.5,0.30625
915.0,0.30625
917.5,0.296875
920.0,0.30625
922.5,0.296875
925.0,0.30625
927.5,0.0
930.0,0.00625
932.5,-0.003125
935.0,-0.003125
937.5,0.00625
940.0,-0.003125
942.5,0.003125
945.0,0.003125
947.5,-0.00625
950.0,-0.00625
952.5,0.303125
955.0,0.296875
957.5,0.30625
960.0,0.296875
962.5,0.30625
965.0,0.30625
967.5,0.296875
970.0,0.30625
972.5,0.296875
975.0,0.30625
977.5,-0.003125
980.0,-0.003125
982.5,0.00625
985.0,-0.003125
987.5,0.00625
990.0,-0.003125
992.5,0.00625
995.0,0.003125
997.5,-0.00625
1000.0,-0.003125
1002.5,0.303125
1005.0,0.296875
1007.5,0.30625
1010.0,0.296875
1012.5,0.30625
1015.0,0.30625
1017.5,0.296875
1020.0,0.296875
1022.5,0.30625
1025.0,0.30625
1027.5,-0.003125
1030.0,-0.003125
1032.5,0.00625
1035.0,-0.003125
1037.5,0.00625
1040.0,0.003125
1042.5,-0.00625
1045.0,0.003125
1047.5,-0.00625
1050.0,-0.00625
1052.5,0.30625
1055.0,0.296875
1057.5,0.30625
1060.0,0.296875
1062.5,0.30625
1065.0,0.30625
1067.5,0.296875
1070.0,0.30625
1072.5,0.296875
1075.0,0.30625
1077.5,-0.003125
1080.0,-0.003125
1082.5,0.00625
1085.0,-0.003125
1087.5,0.00625
1090.0,0.003125
1092.5,-0.00625
1095.0,-0.003125
1097.5,0.003125
1100.0,-0.00625
1102.5,0.303125
